country,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,sweetness,cupper_points,total_score,altitude_m,color,harvest_year
Guatemala,Pacas,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,7.83,84.58,1524.0,Green,2014
Guatemala,Bourbon,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,8.17,84.58,1219.2,Green,2014
Colombia,Caturra,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10.0,7.83,84.58,1550.0,,2013
Colombia,Caturra,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,7.92,84.58,1750.0,,2013
Kenya,SL28,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,7.75,84.58,,Green,2013
Colombia,Caturra,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,7.75,84.58,1750.0,Green,2012
Costa Rica,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,7.75,84.58,1575.0,Bluish-Green,2012
Colombia,Caturra,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,8.08,84.58,1800.0,Green,2012
Brazil,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,7.75,84.58,1300.0,Green,2011
Brazil,Catuai,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,7.5,84.58,1100.0,Blue-Green,2011
Costa Rica,Caturra,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,8.0,84.5,1200.0,Bluish-Green,2017 / 2018
Uganda,SL14,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,7.83,84.5,1750.0,Green,2016
China,Catimor,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,7.92,84.5,1680.0,Green,2015
Costa Rica,Caturra,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,7.92,84.5,1700.0,Green,2014
Colombia,Other,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,7.75,84.5,1800.0,Green,2015/2016
China,Other,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,7.92,84.5,1100.0,Green,2013
Guatemala,Bourbon,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,7.5,84.5,1310.64,Green,2013
Kenya,SL28,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,7.67,84.5,2000.0,Blue-Green,2012
Mexico,Typica,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,7.92,84.5,1350.0,Green,2012
Mexico,Typica,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,7.67,84.5,1500.0,,2012
Guatemala,Bourbon,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,7.83,84.5,,Green,2012
Brazil,,,7.81,7.81,7.88,7.75,7.38,8.25,10.0,8.13,84.5,,,mmm
Brazil,,,8.17,7.67,7.75,7.75,7.67,7.75,10.0,7.75,84.5,,,TEST
Costa Rica,Caturra,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,7.92,84.42,1300.0,Blue-Green,2016
Indonesia,Mandheling,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,8.0,84.42,1400.0,Blue-Green,2017
Colombia,Caturra,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,7.67,84.42,,Green,2015/2016
Colombia,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,7.75,84.42,1775.0,Green,2014
Taiwan,Typica,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,7.75,84.42,1200.0,Blue-Green,2012
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,7.83,84.42,,Blue-Green,2012
Mexico,Pacamara,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10.0,7.83,84.42,900.0,,2012
Ethiopia,,,7.5,7.75,7.83,7.92,7.92,7.75,10.0,7.75,84.42,,,2009/2010
Kenya,SL28,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,8.17,84.33,1800.0,Green,2017 / 2018
Honduras,Caturra,,7.92,8.0,7.75,7.67,7.67,7.75,10.0,7.58,84.33,1500.0,Green,2016
Colombia,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,7.5,84.33,,Green,2016
Honduras,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,7.83,84.33,1500.0,Green,2016
Colombia,,,7.67,7.67,7.75,7.83,7.75,7.83,10.0,7.83,84.33,,,2016
Colombia,Caturra,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,7.33,84.33,442.0,Green,2015
Colombia,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,8.17,84.33,1800.0,Green,2013
Mexico,Typica,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,7.83,84.33,1700.0,Blue-Green,2012
Brazil,Yellow Bourbon,,8.17,8.0,7.5,7.75,7.5,7.67,10.0,7.75,84.33,1275.0,,2011
Brazil,,,8.0,8.0,7.5,7.5,7.67,7.75,10.0,7.92,84.33,1050.0,,2011
Ethiopia,,,7.75,7.75,7.92,7.75,7.5,7.92,10.0,7.75,84.33,1493.52,,
Guatemala,,,7.5,7.67,7.75,7.67,7.92,7.92,10.0,7.92,84.33,1386.84,,December 2009-March 2010
Taiwan,Typica,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,7.67,84.25,1000.0,Blue-Green,2016
Thailand,Catimor,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,8.0,84.25,1200.0,Green,2015
Colombia,Caturra,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,7.83,84.25,2560.0,Green,2016
Guatemala,Caturra,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,7.75,84.25,1500.0,Green,2016
Guatemala,Caturra,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,7.75,84.25,1099.4136,Green,2015
China,Catimor,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,7.75,84.25,1400.0,Green,2015
Colombia,Caturra,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,7.83,84.25,1775.0,Green,2015
Colombia,Caturra,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,7.75,84.25,1775.0,Green,2015
Colombia,Other,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,7.83,84.25,1800.0,Green,2015/2016
Colombia,Caturra,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,7.83,84.25,442.0,Green,2015
"Tanzania, United Republic Of",Other,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,7.83,84.25,1620.0,Green,2014
"Tanzania, United Republic Of",Other,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,7.75,84.25,1600.0,Green,2014
Guatemala,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,7.83,84.25,1219.2,Green,2014
Colombia,Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,7.83,84.25,1700.0,Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,9.33,7.83,84.25,,Bluish-Green,2012
Mexico,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,7.75,84.25,1450.0,Green,2012
Mexico,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,7.75,84.25,1170.0,Green,2012
Mexico,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,7.83,84.25,1400.0,Bluish-Green,2012
Uganda,Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,7.67,84.25,1700.0,Green,2012
Guatemala,Bourbon,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,7.75,84.17,1700.0,Green,2017
